response_id,user_stage,recorded_at,source,platform,brand,human_sentiment,open_response
TX-0019,New setup,2025-01-19,Review,Mobile,Northstar,positive,"While comparing two options, the evidence chain helps me challenge an assumption, and the audit trail builds confidence. When the decision is contested, I also check the page hierarchy so I can move between sections."
TX-0020,New setup,2025-01-20,Survey,Web,Northstar,negative,"While preparing a workshop, the menu helps me understand where I am, and the side panel is crowded. For a research-stage prototype, I also check the next-step panel so I can carry a scenario into planning."
TX-0021,New setup,2025-01-21,Survey,Mobile,Harbor,positive,"While preparing a workshop, the assumption log helps me verify when data changed, and the method note is precise. When several metrics disagree, I also check the next-step panel so I can carry a scenario into planning."
TX-0022,New setup,2025-01-22,Review,Web,Northstar,positive,"While testing a scenario, the follow-up reminder helps me turn the finding into a task, and the handoff is practical. For a research-stage prototype, I also check the citation panel so I can trace a number to its origin."
TX-0023,New setup,2025-01-23,Survey,Mobile,Northstar,negative,"Before documenting a choice, the navigation path helps me understand where I am, and the side panel is crowded. When the decision is contested, I also check the source trail so I can verify when data changed."
TX-0024,New setup,2025-01-24,Survey,Web,Northstar,negative,"While comparing two options, the data provenance helps me challenge an assumption, and citations need more context. For a colleague seeing it fresh, I also check the next-step panel so I can record the next decision."
TX-0025,New setup,2025-01-25,Review,Mobile,Harbor,negative,"While comparing two options, the menu helps me find the right view, and labels need plainer wording. When several metrics disagree, I also check the scenario handoff so I can turn the finding into a task."
TX-0026,New setup,2025-01-26,Survey,Web,Northstar,negative,"During a quiet desk check, the page hierarchy helps me find the right view, and labels need plainer wording. For a routine operational check, I also check the data provenance so I can check the supporting source."
TX-0027,New setup,2025-01-27,Survey,Mobile,Northstar,positive,"Before a team review, the evidence chain helps me check the supporting source, and the method note is precise. When the decision is contested, I also check the action queue so I can turn the finding into a task."
TX-0028,New setup,2025-01-28,Review,Web,Northstar,negative,"While testing a scenario, the filter panel helps me move between sections, and the side panel is crowded. For a research-stage prototype, I also check the follow-up reminder so I can carry a scenario into planning."
TX-0029,New setup,2025-01-29,Survey,Mobile,Harbor,positive,"While preparing a workshop, the filter panel helps me find the right view, and the route is easy to learn. When several metrics disagree, I also check the source trail so I can trace a number to its origin."
TX-0030,New setup,2025-01-30,Survey,Web,Northstar,positive,"Before sharing the result, the citation panel helps me challenge an assumption, and the origin should stay visible. When the decision is contested, I also check the filter panel so I can find the right view."
TX-0031,New setup,2025-01-31,Review,Mobile,Northstar,positive,"While testing a scenario, the navigation path helps me understand where I am, and the route is easy to learn. For a routine operational check, I also check the citation panel so I can check the supporting source."
TX-0032,New setup,2025-02-01,Survey,Web,Northstar,negative,"After reopening the project, the page hierarchy helps me locate saved work, and the side panel is crowded. When several metrics disagree, I also check the decision note so I can assign a clear owner."
TX-0033,New setup,2025-02-02,Survey,Mobile,Harbor,negative,"While testing a scenario, the filter panel helps me find the right view, and the side panel is crowded. When several metrics disagree, I also check the action queue so I can assign a clear owner."
TX-0034,New setup,2025-02-03,Review,Web,Northstar,positive,"While testing a scenario, the scenario handoff helps me assign a clear owner, and the plan is easy to export. When several metrics disagree, I also check the evidence chain so I can check the supporting source."
TX-0035,New setup,2025-02-04,Survey,Mobile,Northstar,positive,"Before sharing the result, the citation panel helps me challenge an assumption, and the method note is precise. For a high-attention planning session, I also check the control labels so I can find the right view."
TX-0036,New setup,2025-02-05,Survey,Web,Northstar,positive,"Before documenting a choice, the page hierarchy helps me understand where I am, and the sequence feels predictable. When I need to explain the result, I also check the method note so I can verify when data changed."
TX-0037,New setup,2025-02-06,Review,Mobile,Harbor,negative,"Before documenting a choice, the scenario handoff helps me record the next decision, and ownership remains unclear. When the decision is contested, I also check the assumption log so I can trace a number to its origin."
TX-0038,New setup,2025-02-07,Survey,Web,Northstar,positive,"During a weekly planning pass, the action queue helps me record the next decision, and the handoff is practical. For a research-stage prototype, I also check the data provenance so I can challenge an assumption."
TX-0039,New setup,2025-02-08,Survey,Mobile,Northstar,positive,"While testing a scenario, the method note helps me trace a number to its origin, and the audit trail builds confidence. In a time-limited review, I also check the action queue so I can carry a scenario into planning."
TX-0040,New setup,2025-02-09,Review,Web,Northstar,positive,"After changing a filter, the filter panel helps me move between sections, and the route is easy to learn. When several metrics disagree, I also check the evidence chain so I can trace a number to its origin."
TX-0041,New setup,2025-02-10,Survey,Mobile,Harbor,positive,"Before sharing the result, the evidence chain helps me challenge an assumption, and the origin should stay visible. When the decision is contested, I also check the control labels so I can locate saved work."
TX-0042,New setup,2025-02-11,Survey,Web,Northstar,positive,"Before sharing the result, the filter panel helps me move between sections, and the sequence feels predictable. For a research-stage prototype, I also check the owner field so I can record the next decision."
TX-0043,New setup,2025-02-12,Review,Mobile,Northstar,negative,"After changing a filter, the filter panel helps me move between sections, and the side panel is crowded. For a research-stage prototype, I also check the next-step panel so I can turn the finding into a task."
TX-0044,New setup,2025-02-13,Survey,Web,Northstar,negative,"Before sharing the result, the menu helps me find the right view, and labels need plainer wording. When I need to explain the result, I also check the assumption log so I can verify when data changed."
TX-0045,New setup,2025-02-14,Survey,Mobile,Harbor,positive,"After reopening the project, the assumption log helps me check the supporting source, and the method note is precise. When I need to explain the result, I also check the next-step panel so I can carry a scenario into planning."
TX-0046,New setup,2025-02-15,Review,Web,Northstar,positive,"Before sharing the result, the decision note helps me turn the finding into a task, and the plan is easy to export. For a routine operational check, I also check the evidence chain so I can check the supporting source."
TX-0047,New setup,2025-02-16,Survey,Mobile,Northstar,positive,"After importing new evidence, the navigation path helps me locate saved work, and the route is easy to learn. When the evidence changes, I also check the follow-up reminder so I can turn the finding into a task."
TX-0048,New setup,2025-02-17,Survey,Web,Northstar,negative,"While testing a scenario, the filter panel helps me move between sections, and labels need plainer wording. When several metrics disagree, I also check the next-step panel so I can carry a scenario into planning."
TX-0049,New setup,2025-02-18,Review,Mobile,Harbor,positive,"While comparing two options, the decision note helps me turn the finding into a task, and the plan is easy to export. For a high-attention planning session, I also check the navigation path so I can locate saved work."
TX-0050,New setup,2025-02-19,Survey,Web,Northstar,negative,"During the first walkthrough, the menu helps me find the right view, and labels need plainer wording. When the evidence changes, I also check the source trail so I can challenge an assumption."
TX-0051,New setup,2025-02-20,Survey,Mobile,Northstar,positive,"Before sharing the result, the navigation path helps me locate saved work, and the route is easy to learn. When the evidence changes, I also check the decision note so I can turn the finding into a task."
TX-0052,New setup,2025-02-21,Review,Web,Northstar,negative,"While testing a scenario, the control labels helps me understand where I am, and labels need plainer wording. When the decision is contested, I also check the action queue so I can turn the finding into a task."
TX-0053,New setup,2025-02-22,Survey,Mobile,Harbor,positive,"Before a team review, the filter panel helps me find the right view, and the sequence feels predictable. When the evidence changes, I also check the action queue so I can record the next decision."
TX-0054,New setup,2025-02-23,Survey,Web,Northstar,negative,"During a weekly planning pass, the menu helps me understand where I am, and the side panel is crowded. For a high-attention planning session, I also check the scenario handoff so I can carry a scenario into planning."
TX-0055,New setup,2025-02-24,Review,Mobile,Northstar,positive,"While testing a scenario, the citation panel helps me verify when data changed, and the audit trail builds confidence. When I need to explain the result, I also check the next-step panel so I can record the next decision."
TX-0056,New setup,2025-02-25,Survey,Web,Northstar,negative,"After importing new evidence, the filter panel helps me locate saved work, and labels need plainer wording. For a routine operational check, I also check the owner field so I can turn the finding into a task."
TX-0057,New setup,2025-02-26,Survey,Mobile,Harbor,negative,"While preparing a workshop, the navigation path helps me locate saved work, and labels need plainer wording. When the decision is contested, I also check the scenario handoff so I can record the next decision."
TX-0058,New setup,2025-02-27,Review,Web,Northstar,negative,"While comparing two options, the page hierarchy helps me understand where I am, and labels need plainer wording. For a routine operational check, I also check the action queue so I can carry a scenario into planning."
TX-0059,New setup,2025-02-28,Survey,Mobile,Northstar,negative,"While testing a scenario, the menu helps me locate saved work, and labels need plainer wording. When I need to explain the result, I also check the scenario handoff so I can carry a scenario into planning."
TX-0060,New setup,2025-03-01,Survey,Web,Northstar,positive,"While preparing a workshop, the scenario handoff helps me assign a clear owner, and the deadline should be prominent. For a research-stage prototype, I also check the menu so I can locate saved work."
TX-0061,New setup,2025-03-02,Review,Mobile,Harbor,negative,"While testing a scenario, the citation panel helps me trace a number to its origin, and citations need more context. When the decision is contested, I also check the control labels so I can find the right view."
TX-0062,New setup,2025-03-03,Survey,Web,Northstar,negative,"While comparing two options, the filter panel helps me find the right view, and the side panel is crowded. When several metrics disagree, I also check the follow-up reminder so I can turn the finding into a task."
TX-0063,New setup,2025-03-04,Survey,Mobile,Northstar,positive,"While testing a scenario, the evidence chain helps me verify when data changed, and the origin should stay visible. For a high-attention planning session, I also check the page hierarchy so I can find the right view."
TX-0064,New setup,2025-03-05,Review,Web,Northstar,negative,"While testing a scenario, the data provenance helps me challenge an assumption, and citations need more context. For a colleague seeing it fresh, I also check the layout so I can understand where I am."
TX-0065,New setup,2025-03-06,Survey,Mobile,Harbor,positive,"After changing a filter, the source trail helps me trace a number to its origin, and the origin should stay visible. When I need to explain the result, I also check the action queue so I can carry a scenario into planning."
TX-0066,New setup,2025-03-07,Survey,Web,Northstar,negative,"During a quiet desk check, the control labels helps me move between sections, and the side panel is crowded. For a high-attention planning session, I also check the owner field so I can carry a scenario into planning."
TX-0067,New setup,2025-03-08,Review,Mobile,Northstar,negative,"While testing a scenario, the menu helps me understand where I am, and the side panel is crowded. When the decision is contested, I also check the method note so I can check the supporting source."
TX-0068,New setup,2025-03-09,Survey,Web,Northstar,negative,"While comparing two options, the filter panel helps me locate saved work, and labels need plainer wording. When the evidence changes, I also check the decision note so I can record the next decision."
TX-0069,New setup,2025-03-10,Survey,Mobile,Harbor,positive,"During the first walkthrough, the citation panel helps me check the supporting source, and the method note is precise. For a research-stage prototype, I also check the decision note so I can record the next decision."
TX-0070,New setup,2025-03-11,Review,Web,Northstar,negative,"While testing a scenario, the menu helps me move between sections, and the side panel is crowded. For a research-stage prototype, I also check the decision note so I can turn the finding into a task."
TX-0071,New setup,2025-03-12,Survey,Mobile,Northstar,negative,"Before sharing the result, the filter panel helps me locate saved work, and the side panel is crowded. When the evidence changes, I also check the data provenance so I can challenge an assumption."
TX-0072,New setup,2025-03-13,Survey,Web,Northstar,positive,"After changing a filter, the layout helps me locate saved work, and the sequence feels predictable. For a routine operational check, I also check the decision note so I can assign a clear owner."
TX-0073,New setup,2025-03-14,Review,Mobile,Harbor,positive,"While testing a scenario, the citation panel helps me verify when data changed, and the audit trail builds confidence. When the evidence changes, I also check the layout so I can find the right view."
TX-0074,New setup,2025-03-15,Survey,Web,Northstar,negative,"While testing a scenario, the next-step panel helps me assign a clear owner, and ownership remains unclear. For a high-attention planning session, I also check the source trail so I can verify when data changed."
TX-0075,New setup,2025-03-16,Survey,Mobile,Northstar,negative,"During the first walkthrough, the source trail helps me challenge an assumption, and citations need more context. When I need to explain the result, I also check the action queue so I can carry a scenario into planning."
TX-0076,New setup,2025-03-17,Review,Web,Northstar,negative,"After changing a filter, the next-step panel helps me assign a clear owner, and ownership remains unclear. When I need to explain the result, I also check the data provenance so I can trace a number to its origin."
TX-0077,New setup,2025-03-18,Survey,Mobile,Harbor,positive,"Before a team review, the menu helps me move between sections, and the sequence feels predictable. For a research-stage prototype, I also check the method note so I can verify when data changed."
TX-0078,New setup,2025-03-19,Survey,Web,Northstar,negative,"Before documenting a choice, the assumption log helps me verify when data changed, and citations need more context. For a routine operational check, I also check the menu so I can find the right view."
TX-0079,New setup,2025-03-20,Review,Mobile,Northstar,positive,"While testing a scenario, the follow-up reminder helps me assign a clear owner, and the deadline should be prominent. When the evidence changes, I also check the assumption log so I can challenge an assumption."
TX-0080,New setup,2025-03-21,Survey,Web,Northstar,negative,"Before sharing the result, the evidence chain helps me trace a number to its origin, and citations need more context. For a routine operational check, I also check the control labels so I can find the right view."
TX-0081,New setup,2025-03-22,Survey,Mobile,Harbor,positive,"During a quiet desk check, the layout helps me understand where I am, and the route is easy to learn. For a routine operational check, I also check the next-step panel so I can carry a scenario into planning."
TX-0082,New setup,2025-03-23,Review,Web,Northstar,positive,"While preparing a workshop, the owner field helps me turn the finding into a task, and the handoff is practical. In a time-limited review, I also check the data provenance so I can challenge an assumption."
TX-0083,New setup,2025-03-24,Survey,Mobile,Northstar,positive,"While preparing a workshop, the data provenance helps me check the supporting source, and the method note is precise. In a time-limited review, I also check the decision note so I can turn the finding into a task."
TX-0084,New setup,2025-03-25,Survey,Web,Northstar,positive,"After changing a filter, the evidence chain helps me challenge an assumption, and the audit trail builds confidence. For a colleague seeing it fresh, I also check the decision note so I can carry a scenario into planning."
TX-0085,New setup,2025-03-26,Review,Mobile,Harbor,negative,"After reopening the project, the layout helps me find the right view, and the side panel is crowded. For a colleague seeing it fresh, I also check the action queue so I can turn the finding into a task."
TX-0086,New setup,2025-03-27,Survey,Web,Northstar,positive,"During a weekly planning pass, the method note helps me verify when data changed, and the audit trail builds confidence. For a high-attention planning session, I also check the navigation path so I can move between sections."
TX-0087,New setup,2025-03-28,Survey,Mobile,Northstar,positive,"While comparing two options, the control labels helps me locate saved work, and the sequence feels predictable. In a time-limited review, I also check the follow-up reminder so I can turn the finding into a task."
TX-0088,New setup,2025-03-29,Review,Web,Northstar,positive,"Before sharing the result, the method note helps me trace a number to its origin, and the method note is precise. When several metrics disagree, I also check the decision note so I can record the next decision."
TX-0089,New setup,2025-03-30,Survey,Mobile,Harbor,negative,"Before documenting a choice, the navigation path helps me find the right view, and labels need plainer wording. When I need to explain the result, I also check the citation panel so I can check the supporting source."
TX-0090,New setup,2025-03-31,Survey,Web,Northstar,negative,"After importing new evidence, the data provenance helps me trace a number to its origin, and citations need more context. When the decision is contested, I also check the scenario handoff so I can assign a clear owner."
TX-0091,New setup,2025-04-01,Review,Mobile,Northstar,positive,"Before documenting a choice, the follow-up reminder helps me assign a clear owner, and the handoff is practical. For a research-stage prototype, I also check the assumption log so I can challenge an assumption."
TX-0092,New setup,2025-04-02,Survey,Web,Northstar,negative,"Before sharing the result, the control labels helps me locate saved work, and labels need plainer wording. When several metrics disagree, I also check the data provenance so I can trace a number to its origin."
TX-0093,New setup,2025-04-03,Survey,Mobile,Harbor,positive,"After importing new evidence, the data provenance helps me trace a number to its origin, and the method note is precise. When several metrics disagree, I also check the menu so I can locate saved work."
TX-0094,New setup,2025-04-04,Review,Web,Northstar,positive,"During the first walkthrough, the assumption log helps me challenge an assumption, and the origin should stay visible. For a high-attention planning session, I also check the next-step panel so I can carry a scenario into planning."
TX-0095,New setup,2025-04-05,Survey,Mobile,Northstar,negative,"After changing a filter, the filter panel helps me locate saved work, and the side panel is crowded. When several metrics disagree, I also check the method note so I can challenge an assumption."
TX-0096,New setup,2025-04-06,Survey,Web,Northstar,positive,"Before documenting a choice, the navigation path helps me move between sections, and the route is easy to learn. For a research-stage prototype, I also check the next-step panel so I can record the next decision."
TX-0097,New setup,2025-04-07,Review,Mobile,Harbor,positive,"After changing a filter, the action queue helps me assign a clear owner, and the deadline should be prominent. When the evidence changes, I also check the page hierarchy so I can find the right view."
TX-0098,New setup,2025-04-08,Survey,Web,Northstar,positive,"Before documenting a choice, the scenario handoff helps me assign a clear owner, and the deadline should be prominent. When the evidence changes, I also check the page hierarchy so I can locate saved work."
TX-0099,New setup,2025-04-09,Survey,Mobile,Northstar,positive,"After reopening the project, the data provenance helps me trace a number to its origin, and the method note is precise. For a colleague seeing it fresh, I also check the layout so I can move between sections."
TX-0100,New setup,2025-04-10,Review,Web,Northstar,positive,"Before sharing the result, the filter panel helps me understand where I am, and the sequence feels predictable. For a routine operational check, I also check the next-step panel so I can turn the finding into a task."
TX-0101,New setup,2025-04-11,Survey,Mobile,Harbor,negative,"After changing a filter, the filter panel helps me move between sections, and labels need plainer wording. In a time-limited review, I also check the follow-up reminder so I can turn the finding into a task."
TX-0102,New setup,2025-04-12,Survey,Web,Northstar,positive,"Before sharing the result, the assumption log helps me challenge an assumption, and the origin should stay visible. When the decision is contested, I also check the action queue so I can assign a clear owner."
TX-0103,New setup,2025-04-13,Review,Mobile,Northstar,positive,"While preparing a workshop, the decision note helps me assign a clear owner, and the handoff is practical. For a high-attention planning session, I also check the citation panel so I can check the supporting source."
TX-0104,New setup,2025-04-14,Survey,Web,Northstar,positive,"While testing a scenario, the page hierarchy helps me find the right view, and the sequence feels predictable. When the evidence changes, I also check the next-step panel so I can turn the finding into a task."
TX-0105,New setup,2025-04-15,Survey,Mobile,Harbor,negative,"While comparing two options, the navigation path helps me move between sections, and the side panel is crowded. When several metrics disagree, I also check the owner field so I can assign a clear owner."
TX-0106,New setup,2025-04-16,Review,Web,Northstar,negative,"After changing a filter, the follow-up reminder helps me carry a scenario into planning, and ownership remains unclear. When several metrics disagree, I also check the data provenance so I can check the supporting source."
TX-0107,New setup,2025-04-17,Survey,Mobile,Northstar,positive,"While preparing a workshop, the evidence chain helps me verify when data changed, and the origin should stay visible. When the decision is contested, I also check the follow-up reminder so I can assign a clear owner."
TX-0108,New setup,2025-04-18,Survey,Web,Northstar,positive,"Before a team review, the layout helps me understand where I am, and the sequence feels predictable. When the evidence changes, I also check the follow-up reminder so I can assign a clear owner."
TX-0109,New setup,2025-04-19,Review,Mobile,Harbor,positive,"After importing new evidence, the navigation path helps me understand where I am, and the sequence feels predictable. For a research-stage prototype, I also check the next-step panel so I can turn the finding into a task."
TX-0110,New setup,2025-04-20,Survey,Web,Northstar,negative,"During a weekly planning pass, the navigation path helps me understand where I am, and labels need plainer wording. When several metrics disagree, I also check the data provenance so I can verify when data changed."
TX-0111,New setup,2025-04-21,Survey,Mobile,Northstar,positive,"While preparing a workshop, the evidence chain helps me challenge an assumption, and the origin should stay visible. When the decision is contested, I also check the filter panel so I can locate saved work."
TX-0112,New setup,2025-04-22,Review,Web,Northstar,positive,"During a quiet desk check, the citation panel helps me challenge an assumption, and the method note is precise. When I need to explain the result, I also check the action queue so I can carry a scenario into planning."
TX-0113,New setup,2025-04-23,Survey,Mobile,Harbor,positive,"During a weekly planning pass, the next-step panel helps me turn the finding into a task, and the handoff is practical. For a research-stage prototype, I also check the method note so I can verify when data changed."
TX-0114,New setup,2025-04-24,Survey,Web,Northstar,negative,"During a quiet desk check, the filter panel helps me move between sections, and the side panel is crowded. For a colleague seeing it fresh, I also check the method note so I can verify when data changed."
TX-0115,New setup,2025-04-25,Review,Mobile,Northstar,negative,"Before sharing the result, the page hierarchy helps me understand where I am, and the side panel is crowded. When the evidence changes, I also check the citation panel so I can verify when data changed."
TX-0116,New setup,2025-04-26,Survey,Web,Northstar,positive,"While testing a scenario, the page hierarchy helps me understand where I am, and the route is easy to learn. When the decision is contested, I also check the follow-up reminder so I can carry a scenario into planning."
TX-0117,New setup,2025-04-27,Survey,Mobile,Harbor,positive,"After changing a filter, the menu helps me locate saved work, and the sequence feels predictable. For a research-stage prototype, I also check the citation panel so I can trace a number to its origin."
TX-0118,New setup,2025-04-28,Review,Web,Northstar,negative,"Before sharing the result, the assumption log helps me verify when data changed, and citations need more context. When several metrics disagree, I also check the page hierarchy so I can find the right view."
TX-0119,New setup,2025-04-29,Survey,Mobile,Northstar,negative,"After changing a filter, the owner field helps me assign a clear owner, and ownership remains unclear. For a colleague seeing it fresh, I also check the source trail so I can trace a number to its origin."
TX-0120,New setup,2025-04-30,Survey,Web,Northstar,positive,"Before documenting a choice, the method note helps me trace a number to its origin, and the audit trail builds confidence. For a colleague seeing it fresh, I also check the decision note so I can record the next decision."
TX-0121,New setup,2025-05-01,Review,Mobile,Harbor,negative,"After changing a filter, the next-step panel helps me record the next decision, and ownership remains unclear. When several metrics disagree, I also check the navigation path so I can locate saved work."
TX-0122,New setup,2025-05-02,Survey,Web,Northstar,positive,"After importing new evidence, the citation panel helps me verify when data changed, and the method note is precise. When several metrics disagree, I also check the layout so I can find the right view."
TX-0123,New setup,2025-05-03,Survey,Mobile,Northstar,positive,"After importing new evidence, the method note helps me check the supporting source, and the audit trail builds confidence. For a high-attention planning session, I also check the control labels so I can understand where I am."
TX-0124,New setup,2025-05-04,Review,Web,Northstar,negative,"After importing new evidence, the page hierarchy helps me understand where I am, and labels need plainer wording. When the evidence changes, I also check the data provenance so I can trace a number to its origin."
TX-0125,New setup,2025-05-05,Survey,Mobile,Harbor,negative,"While testing a scenario, the filter panel helps me understand where I am, and the side panel is crowded. For a research-stage prototype, I also check the assumption log so I can challenge an assumption."
TX-0126,New setup,2025-05-06,Survey,Web,Northstar,negative,"After importing new evidence, the filter panel helps me move between sections, and labels need plainer wording. For a high-attention planning session, I also check the owner field so I can assign a clear owner."
TX-0127,New setup,2025-05-07,Review,Mobile,Northstar,positive,"While comparing two options, the control labels helps me understand where I am, and the sequence feels predictable. For a routine operational check, I also check the source trail so I can trace a number to its origin."
TX-0128,New setup,2025-05-08,Survey,Web,Northstar,positive,"While preparing a workshop, the menu helps me locate saved work, and the sequence feels predictable. For a routine operational check, I also check the method note so I can verify when data changed."
TX-0129,New setup,2025-05-09,Survey,Mobile,Harbor,positive,"While comparing two options, the filter panel helps me locate saved work, and the sequence feels predictable. When the evidence changes, I also check the decision note so I can turn the finding into a task."
TX-0130,New setup,2025-05-10,Review,Web,Northstar,negative,"Before documenting a choice, the navigation path helps me find the right view, and labels need plainer wording. For a research-stage prototype, I also check the assumption log so I can check the supporting source."
TX-0131,New setup,2025-05-11,Survey,Mobile,Northstar,negative,"While preparing a workshop, the menu helps me move between sections, and labels need plainer wording. In a time-limited review, I also check the next-step panel so I can record the next decision."
TX-0132,New setup,2025-05-12,Survey,Web,Northstar,positive,"During the first walkthrough, the citation panel helps me challenge an assumption, and the audit trail builds confidence. In a time-limited review, I also check the follow-up reminder so I can assign a clear owner."
TX-0133,New setup,2025-05-13,Review,Mobile,Harbor,positive,"Before documenting a choice, the method note helps me challenge an assumption, and the audit trail builds confidence. When several metrics disagree, I also check the page hierarchy so I can move between sections."
TX-0134,New setup,2025-05-14,Survey,Web,Northstar,negative,"Before sharing the result, the page hierarchy helps me locate saved work, and the side panel is crowded. When the decision is contested, I also check the scenario handoff so I can assign a clear owner."
TX-0135,New setup,2025-05-15,Survey,Mobile,Northstar,positive,"While testing a scenario, the source trail helps me verify when data changed, and the audit trail builds confidence. When several metrics disagree, I also check the filter panel so I can locate saved work."
TX-0136,New setup,2025-05-16,Review,Web,Northstar,positive,"Before a team review, the page hierarchy helps me find the right view, and the route is easy to learn. When the evidence changes, I also check the scenario handoff so I can carry a scenario into planning."
TX-0137,New setup,2025-05-17,Survey,Mobile,Harbor,positive,"Before documenting a choice, the method note helps me challenge an assumption, and the audit trail builds confidence. For a research-stage prototype, I also check the layout so I can locate saved work."
TX-0138,New setup,2025-05-18,Survey,Web,Northstar,positive,"While testing a scenario, the evidence chain helps me check the supporting source, and the audit trail builds confidence. In a time-limited review, I also check the scenario handoff so I can record the next decision."
TX-0139,New setup,2025-05-19,Review,Mobile,Northstar,negative,"While comparing two options, the evidence chain helps me check the supporting source, and citations need more context. For a colleague seeing it fresh, I also check the page hierarchy so I can locate saved work."
TX-0140,New setup,2025-05-20,Survey,Web,Northstar,negative,"While comparing two options, the page hierarchy helps me move between sections, and the side panel is crowded. When the decision is contested, I also check the evidence chain so I can trace a number to its origin."
TX-0141,New setup,2025-05-21,Survey,Mobile,Harbor,positive,"While testing a scenario, the source trail helps me check the supporting source, and the audit trail builds confidence. When the decision is contested, I also check the control labels so I can find the right view."
TX-0142,New setup,2025-05-22,Review,Web,Northstar,positive,"During a weekly planning pass, the evidence chain helps me verify when data changed, and the origin should stay visible. In a time-limited review, I also check the menu so I can move between sections."
TX-0143,New setup,2025-05-23,Survey,Mobile,Northstar,negative,"After reopening the project, the layout helps me move between sections, and the side panel is crowded. In a time-limited review, I also check the owner field so I can carry a scenario into planning."
TX-0144,New setup,2025-05-24,Survey,Web,Northstar,positive,"During a quiet desk check, the data provenance helps me challenge an assumption, and the audit trail builds confidence. When the evidence changes, I also check the control labels so I can move between sections."
TX-0145,New setup,2025-05-25,Review,Mobile,Harbor,positive,"While comparing two options, the method note helps me verify when data changed, and the audit trail builds confidence. In a time-limited review, I also check the scenario handoff so I can carry a scenario into planning."
TX-0146,New setup,2025-05-26,Survey,Web,Northstar,positive,"Before a team review, the page hierarchy helps me understand where I am, and the sequence feels predictable. When I need to explain the result, I also check the citation panel so I can trace a number to its origin."
